"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1","1","Battery_Cell","","","","Battery:BatteryHolder_Keystone_3000_1x12mm","~"
"C1,C2,C3,C4,C5,C6,C10,C12,C13,C15,C16,C17,C18,C19,C20","15","100nF","","","","10uF:C0402","~"
"C7,C9","2","10uF","","","","10uF:C0402","~"
"C8","1","22uF","","","","10uF:C0402","~"
"C11","1","4.7u","","","","RP2350_80QFN_minimal:C_0402_1005Metric_small_pads","~"
"C14","1","470nF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"Card1","1","DM3D-SF","","","","DM3D:TF-SMD_DM3D-SF",""
"D1,D2,D3","3","LTST-C150RKT","","","","LED_SMD:LED_1206_3216Metric","~"
"D4,D5,D6","3","WS2812B","","","","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf"
"J1","1","USB_C_Receptacle_USB2.0_16P","","","","Connector_USB:USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J2","1","Conn_02x05_Odd_Even","","","","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","~"
"J3","1","U.FL-R-SMT(10)","","","","Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical","~"
"J4","1","Conn_01x03_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"J5","1","Conn_01x02_Pin","","","","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","~"
"R1,R2,R3,R5,R6,R7,R10,R11,R12","9","RC0402FR-075K1L (5.1kΩ)","","","","0402:R0402","~"
"R4,R8,R9","3","RC0402FR-13220RL (220Ω)","","","","0402:R0402","~"
"R13,R14","2","10k","","","","0402:R0402","~"
"SW1,SW2","2","SKRKAGE020","","","","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK","~"
"U1","1","ESP32-C6-MINI-1","","","","RF_Module:ESP32-C6-MINI-1","https://www.espressif.com/sites/default/files/documentation/esp32-c6-mini-1_mini-1u_datasheet_en.pdf"
"U2","1","CH340N","","","","Package_SO:SOP-8_3.9x4.9mm_P1.27mm","https://aitendo3.sakura.ne.jp/aitendo_data/product_img/ic/inteface/CH340N/ch340n.pdf"
"U3","1","NEO-M8N","","","","RF_GPS:ublox_NEO","https://content.u-blox.com/sites/default/files/NEO-M8-FW3_DataSheet_UBX-15031086.pdf"
"U4","1","NCP1117-3.3_SOT223","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.onsemi.com/pub_link/Collateral/NCP1117-D.PDF"
"U5","1","DS3231MZ","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://datasheets.maximintegrated.com/en/ds/DS3231M.pdf"
"U6","1","BME680","","","","Package_LGA:Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering","https://ae-bst.resource.bosch.com/media/_tech/media/datasheets/BST-BME680-DS001.pdf"
"U7","1","MP2607DL-LF-Z","","","","MP2607DL:MP2607DL",""
"U8","1","SHT4x","","","","Sensor_Humidity:Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad","https://sensirion.com/media/documents/33FD6951/624C4357/Datasheet_SHT4x.pdf"
"U9","1","SCD41-D-R2","","","","Sensor:Sensirion_SCD4x-1EP_10.1x10.1mm_P1.25mm_EP4.8x4.8mm","https://sensirion.com/media/documents/E0F04247/631EF271/CD_DS_SCD40_SCD41_Datasheet_D1.pdf"
"U10","1","TCA9548AMRGER","","","","Package_DFN_QFN:Texas_RGE0024C_VQFN-24-1EP_4x4mm_P0.5mm_EP2.1x2.1mm","http://www.ti.com/lit/ds/symlink/tca9548a.pdf"
"U11","1","TSL25911FN","","","","OptoDevice:AMS_TSL25911FN","https://ams.com/documents/20143/9331680/TSL2591_DS000338_7-00.pdf"
